iter	Passed	Remaining
0	18	1848
1	24	1180
2	30	976
3	33	809
4	39	757
5	42	666
6	47	633
7	52	609
8	58	586
9	64	579
10	71	575
11	76	559
12	79	530
13	84	517
14	89	505
15	95	501
16	101	496
17	106	486
18	112	478
19	118	473
20	124	466
21	130	463
22	136	458
23	142	450
24	147	443
25	153	436
26	158	429
27	166	428
28	172	423
29	178	415
30	183	409
31	190	405
32	197	401
33	205	398
34	211	392
35	219	389
36	225	384
37	234	382
38	238	372
39	245	368
40	252	362
41	259	358
42	267	354
43	274	349
44	282	345
45	290	340
46	299	337
47	306	332
48	313	326
49	320	320
50	328	315
51	337	311
52	343	304
53	351	299
54	358	293
55	368	289
56	381	287
57	390	282
58	400	278
59	407	271
60	413	264
61	420	257
62	430	252
63	437	246
64	444	239
65	451	232
66	457	225
67	464	218
68	471	212
69	479	205
70	485	198
71	492	191
72	499	184
73	504	177
74	510	170
75	516	163
76	522	156
77	530	149
78	536	142
79	542	135
80	549	128
81	556	122
82	564	115
83	570	108
84	576	101
85	581	94
86	591	88
87	597	81
88	603	74
89	610	67
90	616	60
91	623	54
92	629	47
93	635	40
94	641	33
95	648	27
96	654	20
97	661	13
98	666	6
99	672	0
