,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.96590576171875,0.031758911916785655,0.016199779510498048,0.011214386517274369,2,100,"{'max_depth': 2, 'n_estimators': 100}",0.9819329409109063,0.9734073032244622,0.9922895248680189,0.9808627396499028,0.9780668241178105,0.9813118665542202,0.006230711873220953,36
1,1.7795063972473144,0.15803514277359756,0.016000080108642577,0.006542571370390891,2,200,"{'max_depth': 2, 'n_estimators': 200}",0.9767064298241044,0.9748398187216752,0.9964747151986663,0.9815400111141983,0.9814444984717977,0.9822010946660884,0.007604280868397143,35
2,2.626712274551392,0.15498477736038324,0.018600320816040038,0.008114407973338211,2,300,"{'max_depth': 2, 'n_estimators': 300}",0.9764459724609749,0.9812904794151865,0.9964226173937205,0.9817136704640178,0.9822954292859128,0.9836336338039626,0.006725890273994643,34
3,3.450412082672119,0.2609424111563691,0.012200641632080077,0.005671119361176666,2,400,"{'max_depth': 2, 'n_estimators': 400}",0.9758903300862982,0.9860481672483548,0.9958842734092803,0.9817831342039456,0.9818960127813281,0.9843003835458413,0.0066345729998840116,32
4,4.171009635925293,0.2093844299060605,0.014999961853027344,0.007402494193226414,2,500,"{'max_depth': 2, 'n_estimators': 500}",0.9732510288065843,0.9880970985049747,0.9954327590997498,0.9820783550986385,0.9830595304251182,0.9843837543870132,0.007305825668734598,31
5,4.962626886367798,0.4050622664254182,0.021799612045288085,0.007025504169487543,2,600,"{'max_depth': 2, 'n_estimators': 600}",0.9720702887603967,0.9884096473407303,0.995727979994443,0.9823909419283136,0.982243331480967,0.9841684379009701,0.007808221439116422,33
6,5.431820392608643,0.23969954594796286,0.008359813690185547,0.0042662579735851195,2,700,"{'max_depth': 2, 'n_estimators': 700}",0.9724349290687782,0.9885311941101909,0.9958495415393165,0.9829987496526814,0.9843793414837456,0.9848387511709426,0.007646216122840324,30
7,6.289519357681274,0.31527101538940305,0.011200046539306641,0.003969723854607095,2,800,"{'max_depth': 2, 'n_estimators': 800}",0.9715146463857202,0.9886006494070255,0.9959363712142262,0.9834849958321757,0.98594227563212,0.9850957876942535,0.00796945290686128,29
8,6.814939212799072,0.2588900764794121,0.013800239562988282,0.0037091940160760744,2,900,"{'max_depth': 2, 'n_estimators': 900}",0.9712889166710077,0.9890347450122415,0.9962489580439011,0.9844053903862184,0.9852650041678245,0.9852486028562387,0.00813543854187274,28
9,1.3075114727020263,0.04909688565528423,0.013000011444091797,0.008485166522084042,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.994174436978,0.9917608654129986,0.9983502361767158,0.9947120727979994,0.9947641706029453,0.9947523563937318,0.002108530787791232,27
10,2.2109140872955324,0.12373528728828395,0.02560105323791504,0.017269629511149676,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.9942612560990433,0.9931152437012727,0.9982634065018061,0.9963097388163379,0.995424076132259,0.9954747442501439,0.0017616024903805328,24
11,3.629515504837036,0.3233875943299345,0.013800859451293945,0.0029933925584666693,3,300,"{'max_depth': 3, 'n_estimators': 300}",0.9943307113958778,0.9935232935701759,0.9981765768268964,0.996309738816338,0.9954761739372049,0.9955632989092986,0.0016170886513780112,22
12,4.748915767669677,0.26367096477162993,0.015399646759033204,0.007030805359932212,3,400,"{'max_depth': 3, 'n_estimators': 400}",0.9942786199232518,0.9936795679880537,0.9981939427618783,0.9963097388163379,0.995441442067241,0.9955806623113526,0.001593087790806432,21
13,5.598519802093506,0.23214995935496566,0.012501287460327148,0.008196920259873522,3,500,"{'max_depth': 3, 'n_estimators': 500}",0.9943828028685038,0.9941831188901044,0.9982113086968601,0.9962229091414282,0.9954761739372048,0.9956952627068203,0.001460549747358695,18
14,6.613024759292602,0.4701199338926528,0.015600299835205078,0.00926596843837065,3,600,"{'max_depth': 3, 'n_estimators': 600}",0.9943654390442951,0.9942178465385216,0.9982460405668242,0.9962229091414282,0.9954414420672408,0.995698735471662,0.001469723278403189,17
15,7.179326438903809,0.3713528548517686,0.01199965476989746,0.006418019739496977,3,700,"{'max_depth': 3, 'n_estimators': 700}",0.9944001666927123,0.9943393933079822,0.9982286746318421,0.9962315921089191,0.995389344262295,0.9957178342007502,0.0014361420162972787,14
16,8.363744640350342,0.1810670259742141,0.010199403762817383,0.0038692420772141914,3,800,"{'max_depth': 3, 'n_estimators': 800}",0.9944001666927124,0.9944262124290253,0.9981939427618783,0.9962315921089191,0.9953893442622951,0.9957282516509661,0.0014076191445807939,13
17,9.320235967636108,0.6188910901496196,0.014000844955444337,0.00654193006704564,3,900,"{'max_depth': 3, 'n_estimators': 900}",0.994417530516921,0.9944262124290254,0.9981418449569325,0.9962142261739372,0.9953546123923313,0.9957108852938295,0.0013865783969238205,15
18,2.1206037998199463,0.06539449944122844,0.013400411605834961,0.005851579939124134,4,100,"{'max_depth': 4, 'n_estimators': 100}",0.9916566824677467,0.9942178465385216,0.9980723812170047,0.9955977354820784,0.995128855237566,0.9949347001885835,0.0020775771250813504,26
19,3.5991199016571045,0.17644418636040024,0.010799551010131836,0.002400648687876073,4,200,"{'max_depth': 4, 'n_estimators': 200}",0.9940702540327482,0.9950165824521192,0.9981418449569325,0.9955109058071687,0.9949551958877466,0.995538956627343,0.0013817780716330653,23
