,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,87.44,87.5544986127626,0 days 00:01:12.103057,0 days 00:00:00.011000
1,3.0,1666.0,88.4953981592637,88.48848848848849,0 days 00:01:11.859984,0 days 00:00:00.012001
2,4.0,1250.0,87.52,87.51500600240097,0 days 00:01:12.453998,0 days 00:00:00.010001
3,5.0,1000.0,87.56,87.52507019655035,0 days 00:01:11.665612,0 days 00:00:00.010002
4,6.0,833.0,86.25450180072029,86.17428053934393,0 days 00:01:11.659225,0 days 00:00:00.011001
5,7.0,714.0,86.79471788715486,86.61257606490874,0 days 00:01:11.499102,0 days 00:00:00.011000
6,8.0,625.0,86.7,86.49746192893402,0 days 00:01:11.621851,0 days 00:00:00.010000
7,9.0,555.0,86.66666666666667,86.53457339264054,0 days 00:01:11.820876,0 days 00:00:00.011003
8,10.0,500.0,86.11999999999999,86.01370415155179,0 days 00:01:11.542795,0 days 00:00:00.011000
