,Number of APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,97.98,97.94757163178215,0 days 00:00:07.505228,0 days 00:00:00.011001
1,3.0,1666.0,98.359343737495,98.35539510629764,0 days 00:00:07.459939,0 days 00:00:00.010002
2,4.0,1250.0,98.0,97.97816417306916,0 days 00:00:07.631207,0 days 00:00:00.012001
3,5.0,1000.0,96.98,96.99263095000997,0 days 00:00:07.491830,0 days 00:00:00.011000
4,6.0,833.0,96.33853541416568,96.36688505062536,0 days 00:00:07.424999,0 days 00:00:00.011000
5,7.0,714.0,96.43857543017207,96.49606299212597,0 days 00:00:07.444000,0 days 00:00:00.010001
6,8.0,625.0,96.38,96.46277115497361,0 days 00:00:07.662043,0 days 00:00:00.011000
7,9.0,555.0,96.7967967967968,96.86765857478464,0 days 00:00:07.618999,0 days 00:00:00.011001
8,10.0,500.0,96.82,96.86080947680158,0 days 00:00:07.520998,0 days 00:00:00.011000
