iter	Logloss
0	0.5709969727
1	0.5362514648
2	0.4839348145
3	0.4761946777
4	0.4539224609
5	0.4040898926
6	0.3776537598
7	0.3665553711
8	0.3524568604
9	0.3363419922
10	0.3280825928
11	0.3050992676
12	0.299823877
13	0.2950552246
14	0.2766179199
15	0.2621468994
16	0.2568687988
17	0.2507865723
18	0.2427186035
19	0.2393399902
20	0.2310223145
21	0.2217578857
22	0.211772876
23	0.2026807129
24	0.1991782715
25	0.1934097534
26	0.1845069458
27	0.1786128784
28	0.1719423584
29	0.1657536133
30	0.1613552734
31	0.155585791
32	0.1515967163
33	0.1464767456
34	0.142938501
35	0.1377934326
36	0.1332269653
37	0.1303173706
38	0.1272973877
39	0.1242118774
40	0.1201929688
41	0.1171118164
42	0.114630188
43	0.1115404541
44	0.1075388062
45	0.1039351074
46	0.1007974121
47	0.09819940186
48	0.09578658447
49	0.09238071899
50	0.08938582153
51	0.08607011108
52	0.08426466064
53	0.08208980713
54	0.07949209595
55	0.07713341675
56	0.07556630859
57	0.07399777222
58	0.07107111816
59	0.06946240234
60	0.06742128296
61	0.06591291504
62	0.06410496216
63	0.06263885498
64	0.06115418701
65	0.06005859985
66	0.05891853027
67	0.05679437256
68	0.05464334717
69	0.05337091064
70	0.05227758179
71	0.05133763428
72	0.04955964661
73	0.0484718811
74	0.0471471283
75	0.04614494629
76	0.04439587402
77	0.04298691101
78	0.04193720703
79	0.04061954651
80	0.03980865784
81	0.03895924683
82	0.03762365723
83	0.03682369385
84	0.03606135559
85	0.03518040771
86	0.03441331787
87	0.03368866882
88	0.03272148743
89	0.03181722412
90	0.03088555298
91	0.02977350769
92	0.02897663574
93	0.02807940979
94	0.02757575684
95	0.0268680603
96	0.02630274048
97	0.02576994934
98	0.02524911346
99	0.02455559692
100	0.02404780579
101	0.02345825195
102	0.0229177887
103	0.02249832458
104	0.02208936615
105	0.02165069733
106	0.02122687683
107	0.02066413574
108	0.02021900787
109	0.01987155151
110	0.01950466919
111	0.01900849304
112	0.01864097595
113	0.01824773865
114	0.01793775024
115	0.01752437286
116	0.01719747314
117	0.01677529297
118	0.0163707901
119	0.01603683472
120	0.01580732269
121	0.01553822021
122	0.01518181458
123	0.01497003326
124	0.01472924194
125	0.01447709961
126	0.01424570007
127	0.01401235657
128	0.01379970093
129	0.01358720245
130	0.01322902527
131	0.01306412659
132	0.01280447388
133	0.01261001587
134	0.01230549469
135	0.01211022186
136	0.0118083107
137	0.01164946899
138	0.0114776886
139	0.01130453873
140	0.01113914185
141	0.01094722748
142	0.01078872375
143	0.01057531281
144	0.01041950073
145	0.01028608398
146	0.01011204987
147	0.009957328796
148	0.009733306122
149	0.009568798828
150	0.009404844666
151	0.009268894958
152	0.009159867096
153	0.009028224182
154	0.008884588623
155	0.008726821136
156	0.008533299255
157	0.008423547363
158	0.008312229156
159	0.008206332397
160	0.008048473358
161	0.007953645325
162	0.007793087769
163	0.007700239563
164	0.007605429077
165	0.007499360657
166	0.007390422058
167	0.007300335693
168	0.007220776367
169	0.007152102661
170	0.007081069946
171	0.006976885223
172	0.006875862122
173	0.006820684052
174	0.006754684448
175	0.006676228333
176	0.006564922333
177	0.006453710938
178	0.006381142044
179	0.006319256592
180	0.006220589828
181	0.006142562866
182	0.006089588928
183	0.006030467606
184	0.005980080414
185	0.005899277496
186	0.005853358078
187	0.005783821869
188	0.005721691895
189	0.005650753784
190	0.005579462814
191	0.005489192963
192	0.005441732407
193	0.005389563751
194	0.005334261322
195	0.005269715118
196	0.005198162079
197	0.005150360489
198	0.005088357925
199	0.005034545517
200	0.004991764069
201	0.004940866852
202	0.004896409225
203	0.004854278183
204	0.004815408325
205	0.004774470901
206	0.004721260071
207	0.004677859497
208	0.004621173096
209	0.004580574799
210	0.004522924423
211	0.004489099884
212	0.004436170959
213	0.004396218872
214	0.004344386673
215	0.004309449387
216	0.004269197083
217	0.004239594269
218	0.00420182991
219	0.004159500885
220	0.004127223206
221	0.004090771866
222	0.004057397461
223	0.004028213501
224	0.00400123024
225	0.00397390213
226	0.003935221863
227	0.003903173828
228	0.003865747833
229	0.003858919144
230	0.003816284943
231	0.003781123352
232	0.003753714752
233	0.003717388916
234	0.003680578232
235	0.003644041443
236	0.003610853577
237	0.003579603577
238	0.003554006195
239	0.003515013885
240	0.003491866302
241	0.003465309906
242	0.003465282822
243	0.003465235138
244	0.003439139938
245	0.003405029297
246	0.003376115417
247	0.003350093079
248	0.003350022888
249	0.003343175125
250	0.003332440948
251	0.003303511047
252	0.003276852798
253	0.003276811218
254	0.003276767731
255	0.003276767731
256	0.003276767731
257	0.003276767731
258	0.003276767731
259	0.003276767731
260	0.003276767731
261	0.00327676239
262	0.003276759338
263	0.00327035141
264	0.003244704437
265	0.003241320419
266	0.003241323853
267	0.003235298157
268	0.003235259247
269	0.003232168579
270	0.003232150269
271	0.003232081604
272	0.003226551819
273	0.003204302216
274	0.003204262543
275	0.003204263306
276	0.003182096481
277	0.003157178688
278	0.003125802422
279	0.003125763321
280	0.00312574482
281	0.003125276375
282	0.003125238037
283	0.003125238037
284	0.003125238037
285	0.003125238037
286	0.003124901581
287	0.003124815178
288	0.003124842262
289	0.003124790192
290	0.003124728775
291	0.003124728775
292	0.003124728775
293	0.003124684906
294	0.003124656296
295	0.0031245821
296	0.003124532509
297	0.003124169159
298	0.003123710251
299	0.003123710251
300	0.003123710251
301	0.003123671532
302	0.003123635483
303	0.003123628616
304	0.003123628616
305	0.003123628616
306	0.003123592949
307	0.003123519325
308	0.003123496628
309	0.003123473167
310	0.003123157501
311	0.003123157501
312	0.00312315712
313	0.003123148346
314	0.003123070908
315	0.003123073578
