iter	Passed	Remaining
413	3557	5035
414	3564	5024
415	3571	5014
416	3578	5003
417	3585	4992
418	3592	4982
419	3602	4974
420	3609	4963
421	3618	4956
422	3628	4949
423	3635	4938
424	3642	4927
425	3651	4920
426	3662	4914
427	3669	4903
428	3676	4892
429	3685	4885
430	3693	4875
431	3702	4868
432	3712	4861
433	3722	4854
434	3731	4846
435	3741	4839
436	3750	4832
437	3760	4825
438	3767	4814
439	3777	4807
440	3784	4797
441	3793	4789
442	3803	4782
443	3813	4774
444	3820	4764
445	3827	4753
446	3834	4743
447	3843	4736
448	3850	4725
449	3863	4722
450	3899	4746
451	3916	4748
452	3930	4745
453	3940	4738
454	3950	4731
455	3969	4735
456	3981	4731
457	3990	4721
458	3997	4711
459	4019	4718
460	4028	4710
461	4035	4699
462	4043	4689
463	4050	4679
464	4057	4668
465	4064	4658
466	4072	4647
467	4079	4637
468	4086	4626
469	4096	4619
470	4106	4611
471	4116	4604
472	4123	4594
473	4132	4585
474	4140	4575
475	4147	4565
476	4154	4555
477	4164	4547
478	4172	4537
479	4179	4527
480	4189	4520
481	4199	4513
482	4207	4503
483	4217	4496
484	4224	4485
485	4231	4475
486	4239	4465
487	4248	4457
488	4258	4450
489	4265	4440
490	4275	4432
491	4285	4424
492	4295	4417
493	4305	4409
494	4315	4402
495	4322	4391
496	4332	4384
497	4340	4374
498	4347	4364
499	4354	4354
500	4361	4344
