,Number of APUF,Number of XOR-PUF,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,1.0,1.0,1.0,5000.0,96.3,96.25379682753966,0 days 00:00:53.653408,0 days 00:00:00.018507
1,2.0,2.0,2.0,2500.0,94.66666666666667,94.53924914675768,0 days 00:00:54.047915,0 days 00:00:00.012969
2,3.0,3.0,3.0,1666.0,93.89796598866289,93.7350222526532,0 days 00:00:52.360817,0 days 00:00:00.013999
3,4.0,4.0,4.0,1250.0,94.73333333333333,94.76127320954907,0 days 00:00:52.029784,0 days 00:00:00.012998
4,5.0,5.0,5.0,1000.0,94.26666666666667,94.2628418945964,0 days 00:00:52.257587,0 days 00:00:00.015973
5,6.0,6.0,6.0,833.0,94.26475491830611,94.18526031102095,0 days 00:00:52.439142,0 days 00:00:00.013970
6,10.0,10.0,10.0,500.0,93.86666666666666,93.93539881344758,0 days 00:00:53.551955,0 days 00:00:00.015001
7,20.0,20.0,20.0,250.0,93.86666666666666,93.83791024782317,0 days 00:00:52.700313,0 days 00:00:00.015969
