,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(1,1,1)",5000.0,94.1,94.12935323383084,0 days 00:01:13.034596,0 days 00:00:14.052951
1,"Generic framework(2,2,2)",5000.0,93.2,93.1497649429147,0 days 00:01:01.924504,0 days 00:00:09.303804
2,"Generic framework(3,3,3)",5000.0,90.43014338112704,90.2347737325621,0 days 00:00:58.998870,0 days 00:00:07.806579
3,"Generic framework(4,4,4)",5000.0,88.3,88.2804674457429,0 days 00:00:59.934867,0 days 00:00:07.255400
4,"Generic framework(5,5,5)",5000.0,89.4,89.03448275862068,0 days 00:01:00.729756,0 days 00:00:06.783710
5,"Generic framework(6,6,6)",5000.0,90.33011003667889,90.33333333333333,0 days 00:00:59.883247,0 days 00:00:06.401186
6,"Generic framework(10,10,10)",5000.0,92.66666666666666,92.552471225457,0 days 00:00:59.173761,0 days 00:00:05.939883
7,"Generic framework(20,20,20)",5000.0,92.73333333333333,92.8336620644313,0 days 00:00:57.307415,0 days 00:00:06.703957
