,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,"Generic framework(1,1,1)",5000.0,75.7,72.01535508637235,0 days 00:00:51.981031,0 days 00:00:03.881825
1,"Generic framework(2,2,2)",5000.0,81.86666666666666,80.7909604519774,0 days 00:00:50.987284,0 days 00:00:03.688628
2,"Generic framework(3,3,3)",5000.0,80.32677559186395,77.91916167664671,0 days 00:00:52.266853,0 days 00:00:03.722865
3,"Generic framework(4,4,4)",5000.0,82.6,80.72378138847859,0 days 00:00:51.925332,0 days 00:00:03.676533
4,"Generic framework(5,5,5)",5000.0,83.46666666666667,82.00290275761972,0 days 00:00:51.154966,0 days 00:00:03.607654
5,"Generic framework(6,6,6)",5000.0,80.46015338446149,78.81417208966016,0 days 00:00:51.485550,0 days 00:00:03.546735
6,"Generic framework(10,10,10)",5000.0,80.76666666666667,79.45888216447133,0 days 00:00:51.532575,0 days 00:00:03.800424
7,"Generic framework(20,20,20)",5000.0,78.26666666666667,75.72598659717052,0 days 00:00:51.816905,0 days 00:00:03.900723
