,Number of APUF,Number of XOR-PUF,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,1.0,1.0,1.0,5000.0,96.6,96.56102494942684,0 days 00:00:50.067563,0 days 00:00:00.013972
1,2.0,2.0,2.0,2500.0,95.3,95.28585757271816,0 days 00:00:50.252299,0 days 00:00:00.014504
2,3.0,3.0,3.0,1666.0,95.4651550516839,95.46061415220294,0 days 00:00:50.392837,0 days 00:00:00.014001
3,4.0,4.0,4.0,1250.0,86.96666666666667,85.72471705001826,0 days 00:00:50.120723,0 days 00:00:00.014000
4,5.0,5.0,5.0,1000.0,94.5,94.39347604485219,0 days 00:00:50.130976,0 days 00:00:00.013997
5,6.0,6.0,6.0,833.0,95.2650883627876,95.10682288077189,0 days 00:00:50.148523,0 days 00:00:00.014968
6,10.0,10.0,10.0,500.0,94.46666666666667,94.52506596306068,0 days 00:00:49.832232,0 days 00:00:00.013998
7,20.0,20.0,20.0,250.0,93.0,92.94354838709677,0 days 00:00:50.216624,0 days 00:00:00.014000
