,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,93.89999999999999,93.79450661241097,0 days 00:00:42.574999,0 days 00:00:00.152001
1,3.0,1666.0,92.7,93.46463742166516,0 days 00:00:43.566001,0 days 00:00:00.014000
2,4.0,1250.0,91.9,92.00394866732478,0 days 00:00:42.767510,0 days 00:00:00.012001
3,5.0,1000.0,92.80000000000001,93.20754716981132,0 days 00:00:40.764000,0 days 00:00:00.009999
4,6.0,833.0,94.5,94.60255152109912,0 days 00:00:40.315855,0 days 00:00:00.011001
5,7.0,714.0,94.8,94.70468431771893,0 days 00:00:40.353464,0 days 00:00:00.012001
6,8.0,625.0,93.2,92.90187891440502,0 days 00:00:40.222775,0 days 00:00:00.012000
7,9.0,555.0,92.1921921921922,91.80672268907563,0 days 00:00:42.499796,0 days 00:00:00.012999
8,10.0,500.0,93.0,93.16406250000001,0 days 00:00:42.495140,0 days 00:00:00.012001
