,Number of APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,96.7,96.63608562691131,0 days 00:00:04.956188,0 days 00:00:00.013000
1,3.0,1666.0,96.7,96.55891553701773,0 days 00:00:06.520524,0 days 00:00:00.013992
2,4.0,1250.0,96.2,95.95744680851064,0 days 00:00:05.633003,0 days 00:00:00.013999
3,5.0,1000.0,96.5,96.4824120603015,0 days 00:00:05.254998,0 days 00:00:00.010000
4,6.0,833.0,96.2,96.28180039138942,0 days 00:00:05.103999,0 days 00:00:00.011000
5,7.0,714.0,96.0,95.95959595959596,0 days 00:00:06.559002,0 days 00:00:00.014000
6,8.0,625.0,96.7,96.65653495440729,0 days 00:00:05.450996,0 days 00:00:00.015002
7,9.0,555.0,96.09609609609609,96.08826479438315,0 days 00:00:05.598999,0 days 00:00:00.011001
8,10.0,500.0,95.3,95.02645502645501,0 days 00:00:05.334000,0 days 00:00:00.013004
