,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,85.7,85.45269582909462,0 days 00:00:43.356515,0 days 00:00:00.016001
1,3.0,1666.0,86.3,86.7632850241546,0 days 00:00:46.218192,0 days 00:00:00.026999
2,4.0,1250.0,85.8,86.21359223300972,0 days 00:00:46.912001,0 days 00:00:00.013997
3,5.0,1000.0,88.8,88.35758835758836,0 days 00:00:47.975999,0 days 00:00:00.017001
4,6.0,833.0,85.7,85.18134715025907,0 days 00:00:46.872512,0 days 00:00:00.014000
5,7.0,714.0,86.2,86.22754491017965,0 days 00:00:47.690417,0 days 00:00:00.017998
6,8.0,625.0,87.2,87.25099601593625,0 days 00:00:47.118023,0 days 00:00:00.015998
7,9.0,555.0,86.48648648648648,86.67324777887463,0 days 00:00:48.860999,0 days 00:00:00.015999
8,10.0,500.0,86.1,85.71428571428571,0 days 00:00:45.055000,0 days 00:00:00.013001
