,Number of APUF,Number of XOR-PUF,Number of FF-XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,1.0,1.0,1.0,5000.0,96.06666666666666,96.00811907983761,0 days 00:00:50.450591,0 days 00:00:00.021022
1,2.0,2.0,2.0,2500.0,95.63333333333334,95.5366269165247,0 days 00:00:50.145213,0 days 00:00:00.012967
2,3.0,3.0,3.0,1666.0,95.29843281093699,95.3233830845771,0 days 00:00:50.343898,0 days 00:00:00.014485
3,4.0,4.0,4.0,1250.0,94.03333333333333,94.05907733156323,0 days 00:00:50.389281,0 days 00:00:00.015999
4,5.0,5.0,5.0,1000.0,93.8,93.69918699186992,0 days 00:00:51.083819,0 days 00:00:00.012998
5,6.0,6.0,6.0,833.0,94.39813271090364,94.27402862985686,0 days 00:00:50.393060,0 days 00:00:00.013998
6,10.0,10.0,10.0,500.0,94.19999999999999,94.32855280312907,0 days 00:00:50.307762,0 days 00:00:00.014998
7,20.0,20.0,20.0,250.0,93.0,93.0784442979565,0 days 00:00:50.156270,0 days 00:00:00.012999
